pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Side Plank Pose,40,75.40338726203431,75.40338726203431,143.06344508493066,143.06344508493066,43.02711174665988,43.02711174665988,29.360912864996884,29.360912864996884,1.0
Side Reclining Leg Lift Pose,41,72.81780182114058,72.81780182114058,152.66768622524376,152.66768622524376,107.9344723729442,107.9344723729442,69.7352641711469,69.7352641711469,1.0
Standing Bent Over Calf Strength Pose,42,61.36598965348661,61.36598965348661,150.14845677331073,150.14845677331073,112.30020917634532,112.30020917634532,92.58347477781676,92.58347477781676,1.0
Easy Pose,43,67.11310261369874,67.11310261369874,87.37206965245974,87.37206965245974,73.60435070591808,73.60435070591808,111.49327326198848,111.49327326198848,1.0
Upward Salute Side Bend Pose,44,51.443954089422135,51.443954089422135,142.62347176008618,142.62347176008618,159.257187191203,159.257187191203,167.29447150774308,167.29447150774308,0.0
Big Toe Pose,45,92.2985340756494,92.2985340756494,114.04584940716518,114.04584940716518,101.40007536731288,101.40007536731288,42.5297852045168,42.5297852045168,1.0
Tree Pose,46,66.82154710926473,66.82154710926473,156.5306660467155,156.5306660467155,111.41126063417852,111.41126063417852,75.93341146839107,75.93341146839107,0.0
Triangle Pose,47,62.87853938055871,62.87853938055871,124.3027143771781,124.3027143771781,61.65410252153642,61.65410252153642,153.78228256715386,153.78228256715386,1.0
Upward Salute Pose,48,63.2876676563092,63.2876676563092,151.69200580250737,151.69200580250737,131.53368899833276,131.53368899833276,75.5372427876602,75.5372427876602,1.0
The Chair Pose,49,21.76406790918826,21.76406790918826,140.28677862929112,140.28677862929112,130.0815992311388,130.0815992311388,146.86420675424034,146.86420675424034,1.0
Warrior 1 Pose,50,101.8710691371324,101.8710691371324,129.20055806176498,129.20055806176498,103.4019103661028,103.4019103661028,100.64172860867036,100.64172860867036,1.0
Warrior 2 Pose,51,132.02151846026516,132.02151846026516,126.6581929609229,126.6581929609229,118.83961453713928,118.83961453713928,110.4324847138722,110.4324847138722,1.0
Warrior 3 Pose,52,69.67800080416214,69.67800080416214,125.92598370032528,125.92598370032528,97.0754047247542,97.0754047247542,146.24969118177756,146.24969118177756,1.0
